Day,Sensor_ID,Hourly_Counts,sensor_description,latitude,longitude,location
Thursday,8,132.0,Webb Bridge,-37.82293543,144.94717511,"(-37.82293543, 144.94717511)"
Tuesday,8,135.0,Webb Bridge,-37.82293543,144.94717511,"(-37.82293543, 144.94717511)"
Wednesday,8,133.0,Webb Bridge,-37.82293543,144.94717511,"(-37.82293543, 144.94717511)"
Friday,9,256.0,Southern Cross Station,-37.81982992,144.95102556,"(-37.81982992, 144.95102556)"
Monday,9,237.0,Southern Cross Station,-37.81982992,144.95102556,"(-37.81982992, 144.95102556)"
Saturday,9,50.0,Southern Cross Station,-37.81982992,144.95102556,"(-37.81982992, 144.95102556)"
Sunday,9,40.0,Southern Cross Station,-37.81982992,144.95102556,"(-37.81982992, 144.95102556)"
Thursday,9,275.0,Southern Cross Station,-37.81982992,144.95102556,"(-37.81982992, 144.95102556)"
Tuesday,9,280.0,Southern Cross Station,-37.81982992,144.95102556,"(-37.81982992, 144.95102556)"
Wednesday,9,268.0,Southern Cross Station,-37.81982992,144.95102556,"(-37.81982992, 144.95102556)"
Friday,10,72.0,Victoria Point,-37.81876473,144.94710545,"(-37.81876473, 144.94710545)"
Monday,10,67.0,Victoria Point,-37.81876473,144.94710545,"(-37.81876473, 144.94710545)"
Saturday,10,33.0,Victoria Point,-37.81876473,144.94710545,"(-37.81876473, 144.94710545)"
Sunday,10,25.0,Victoria Point,-37.81876473,144.94710545,"(-37.81876473, 144.94710545)"
Thursday,10,76.0,Victoria Point,-37.81876473,144.94710545,"(-37.81876473, 144.94710545)"
Tuesday,10,74.0,Victoria Point,-37.81876473,144.94710545,"(-37.81876473, 144.94710545)"
Wednesday,10,73.0,Victoria Point,-37.81876473,144.94710545,"(-37.81876473, 144.94710545)"
Friday,11,41.0,Waterfront City,-37.81564989,144.93970695,"(-37.81564989, 144.93970695)"
Monday,11,42.0,Waterfront City,-37.81564989,144.93970695,"(-37.81564989, 144.93970695)"
Saturday,11,47.0,Waterfront City,-37.81564989,144.93970695,"(-37.81564989, 144.93970695)"
Sunday,11,54.0,Waterfront City,-37.81564989,144.93970695,"(-37.81564989, 144.93970695)"
Thursday,11,41.0,Waterfront City,-37.81564989,144.93970695,"(-37.81564989, 144.93970695)"
Tuesday,11,42.0,Waterfront City,-37.81564989,144.93970695,"(-37.81564989, 144.93970695)"
Wednesday,11,43.0,Waterfront City,-37.81564989,144.93970695,"(-37.81564989, 144.93970695)"
Friday,12,146.0,New Quay,-37.81457987,144.94292398,"(-37.81457987, 144.94292398)"
Monday,12,143.0,New Quay,-37.81457987,144.94292398,"(-37.81457987, 144.94292398)"
Saturday,12,159.0,New Quay,-37.81457987,144.94292398,"(-37.81457987, 144.94292398)"
Sunday,12,178.0,New Quay,-37.81457987,144.94292398,"(-37.81457987, 144.94292398)"
Thursday,12,143.0,New Quay,-37.81457987,144.94292398,"(-37.81457987, 144.94292398)"
Tuesday,12,144.0,New Quay,-37.81457987,144.94292398,"(-37.81457987, 144.94292398)"
Wednesday,12,151.0,New Quay,-37.81457987,144.94292398,"(-37.81457987, 144.94292398)"
Friday,14,211.0,Sandridge Bridge,-37.82011242,144.96291898,"(-37.82011242, 144.96291898)"
Monday,14,175.0,Sandridge Bridge,-37.82011242,144.96291898,"(-37.82011242, 144.96291898)"
Saturday,14,187.0,Sandridge Bridge,-37.82011242,144.96291898,"(-37.82011242, 144.96291898)"
Sunday,14,161.0,Sandridge Bridge,-37.82011242,144.96291898,"(-37.82011242, 144.96291898)"
Thursday,14,200.0,Sandridge Bridge,-37.82011242,144.96291898,"(-37.82011242, 144.96291898)"
Tuesday,14,174.0,Sandridge Bridge,-37.82011242,144.96291898,"(-37.82011242, 144.96291898)"
Wednesday,14,199.0,Sandridge Bridge,-37.82011242,144.96291898,"(-37.82011242, 144.96291898)"
Friday,15,445.0,State Library,-37.81064378,144.96447132,"(-37.81064378, 144.96447132)"
Monday,15,394.0,State Library,-37.81064378,144.96447132,"(-37.81064378, 144.96447132)"
Saturday,15,443.0,State Library,-37.81064378,144.96447132,"(-37.81064378, 144.96447132)"
Sunday,15,392.0,State Library,-37.81064378,144.96447132,"(-37.81064378, 144.96447132)"
Thursday,15,419.0,State Library,-37.81064378,144.96447132,"(-37.81064378, 144.96447132)"
Tuesday,15,402.0,State Library,-37.81064378,144.96447132,"(-37.81064378, 144.96447132)"
Wednesday,15,426.0,State Library,-37.81064378,144.96447132,"(-37.81064378, 144.96447132)"
Friday,17,197.0,Collins Place (South),-37.81362542,144.97323592,"(-37.81362542, 144.97323592)"
Monday,17,192.0,Collins Place (South),-37.81362542,144.97323592,"(-37.81362542, 144.97323592)"
Saturday,17,91.0,Collins Place (South),-37.81362542,144.97323592,"(-37.81362542, 144.97323592)"
Sunday,17,67.0,Collins Place (South),-37.81362542,144.97323592,"(-37.81362542, 144.97323592)"
Thursday,17,208.0,Collins Place (South),-37.81362542,144.97323592,"(-37.81362542, 144.97323592)"
Tuesday,17,205.0,Collins Place (South),-37.81362542,144.97323592,"(-37.81362542, 144.97323592)"
Wednesday,17,205.0,Collins Place (South),-37.81362542,144.97323592,"(-37.81362542, 144.97323592)"
Friday,18,135.0,Collins Place (North),-37.81344861,144.97305354,"(-37.81344861, 144.97305354)"
Monday,18,126.0,Collins Place (North),-37.81344861,144.97305354,"(-37.81344861, 144.97305354)"
Saturday,18,48.0,Collins Place (North),-37.81344861,144.97305354,"(-37.81344861, 144.97305354)"
Sunday,18,31.0,Collins Place (North),-37.81344861,144.97305354,"(-37.81344861, 144.97305354)"
Thursday,18,144.0,Collins Place (North),-37.81344861,144.97305354,"(-37.81344861, 144.97305354)"
Tuesday,18,144.0,Collins Place (North),-37.81344861,144.97305354,"(-37.81344861, 144.97305354)"
Wednesday,18,144.0,Collins Place (North),-37.81344861,144.97305354,"(-37.81344861, 144.97305354)"
Friday,19,251.0,Chinatown-Swanston St (North),-37.81237202,144.96550671,"(-37.81237202, 144.96550671)"
Monday,19,198.0,Chinatown-Swanston St (North),-37.81237202,144.96550671,"(-37.81237202, 144.96550671)"
Saturday,19,285.0,Chinatown-Swanston St (North),-37.81237202,144.96550671,"(-37.81237202, 144.96550671)"
Sunday,19,235.0,Chinatown-Swanston St (North),-37.81237202,144.96550671,"(-37.81237202, 144.96550671)"
Thursday,19,213.0,Chinatown-Swanston St (North),-37.81237202,144.96550671,"(-37.81237202, 144.96550671)"
Tuesday,19,196.0,Chinatown-Swanston St (North),-37.81237202,144.96550671,"(-37.81237202, 144.96550671)"
Wednesday,19,213.0,Chinatown-Swanston St (North),-37.81237202,144.96550671,"(-37.81237202, 144.96550671)"
Friday,20,156.0,Chinatown-Lt Bourke St (South),-37.81172913,144.9682466,"(-37.81172913, 144.9682466)"
Monday,20,103.0,Chinatown-Lt Bourke St (South),-37.81172913,144.9682466,"(-37.81172913, 144.9682466)"
Saturday,20,168.0,Chinatown-Lt Bourke St (South),-37.81172913,144.9682466,"(-37.81172913, 144.9682466)"
Sunday,20,134.0,Chinatown-Lt Bourke St (South),-37.81172913,144.9682466,"(-37.81172913, 144.9682466)"
Thursday,20,124.0,Chinatown-Lt Bourke St (South),-37.81172913,144.9682466,"(-37.81172913, 144.9682466)"
Tuesday,20,107.0,Chinatown-Lt Bourke St (South),-37.81172913,144.9682466,"(-37.81172913, 144.9682466)"
Wednesday,20,122.0,Chinatown-Lt Bourke St (South),-37.81172913,144.9682466,"(-37.81172913, 144.9682466)"
Friday,21,319.0,Bourke St-Russell St (West),-37.81244703,144.96778757,"(-37.81244703, 144.96778757)"
Monday,21,246.0,Bourke St-Russell St (West),-37.81244703,144.96778757,"(-37.81244703, 144.96778757)"
Saturday,21,309.0,Bourke St-Russell St (West),-37.81244703,144.96778757,"(-37.81244703, 144.96778757)"
Sunday,21,275.0,Bourke St-Russell St (West),-37.81244703,144.96778757,"(-37.81244703, 144.96778757)"
Thursday,21,278.0,Bourke St-Russell St (West),-37.81244703,144.96778757,"(-37.81244703, 144.96778757)"
Tuesday,21,253.0,Bourke St-Russell St (West),-37.81244703,144.96778757,"(-37.81244703, 144.96778757)"
Wednesday,21,275.0,Bourke St-Russell St (West),-37.81244703,144.96778757,"(-37.81244703, 144.96778757)"
Friday,22,902.0,Flinders St-Elizabeth St (East),-37.81786445,144.96506823,"(-37.81786445, 144.96506823)"
Monday,22,829.0,Flinders St-Elizabeth St (East),-37.81786445,144.96506823,"(-37.81786445, 144.96506823)"
Saturday,22,804.0,Flinders St-Elizabeth St (East),-37.81786445,144.96506823,"(-37.81786445, 144.96506823)"
Sunday,22,702.0,Flinders St-Elizabeth St (East),-37.81786445,144.96506823,"(-37.81786445, 144.96506823)"
Thursday,22,883.0,Flinders St-Elizabeth St (East),-37.81786445,144.96506823,"(-37.81786445, 144.96506823)"
Tuesday,22,860.0,Flinders St-Elizabeth St (East),-37.81786445,144.96506823,"(-37.81786445, 144.96506823)"
Wednesday,22,884.0,Flinders St-Elizabeth St (East),-37.81786445,144.96506823,"(-37.81786445, 144.96506823)"
Friday,23,170.0,Spencer St-Collins St (South),-37.81909256,144.95452749,"(-37.81909256, 144.95452749)"
Monday,23,150.0,Spencer St-Collins St (South),-37.81909256,144.95452749,"(-37.81909256, 144.95452749)"
Saturday,23,81.0,Spencer St-Collins St (South),-37.81909256,144.95452749,"(-37.81909256, 144.95452749)"
Sunday,23,71.0,Spencer St-Collins St (South),-37.81909256,144.95452749,"(-37.81909256, 144.95452749)"
Thursday,23,175.0,Spencer St-Collins St (South),-37.81909256,144.95452749,"(-37.81909256, 144.95452749)"
Tuesday,23,170.0,Spencer St-Collins St (South),-37.81909256,144.95452749,"(-37.81909256, 144.95452749)"
Wednesday,23,172.0,Spencer St-Collins St (South),-37.81909256,144.95452749,"(-37.81909256, 144.95452749)"
Friday,24,582.0,Spencer St-Collins St (North),-37.81887962,144.95449198,"(-37.81887962, 144.95449198)"
Monday,24,515.0,Spencer St-Collins St (North),-37.81887962,144.95449198,"(-37.81887962, 144.95449198)"
Saturday,24,319.0,Spencer St-Collins St (North),-37.81887962,144.95449198,"(-37.81887962, 144.95449198)"
Sunday,24,261.0,Spencer St-Collins St (North),-37.81887962,144.95449198,"(-37.81887962, 144.95449198)"
Thursday,24,570.0,Spencer St-Collins St (North),-37.81887962,144.95449198,"(-37.81887962, 144.95449198)"
Tuesday,24,564.0,Spencer St-Collins St (North),-37.81887962,144.95449198,"(-37.81887962, 144.95449198)"
Wednesday,24,569.0,Spencer St-Collins St (North),-37.81887962,144.95449198,"(-37.81887962, 144.95449198)"
Friday,25,449.0,Melbourne Convention Exhibition Centre,-37.82401776,144.95604426,"(-37.82401776, 144.95604426)"
Monday,25,417.0,Melbourne Convention Exhibition Centre,-37.82401776,144.95604426,"(-37.82401776, 144.95604426)"
Saturday,25,527.0,Melbourne Convention Exhibition Centre,-37.82401776,144.95604426,"(-37.82401776, 144.95604426)"
Sunday,25,503.0,Melbourne Convention Exhibition Centre,-37.82401776,144.95604426,"(-37.82401776, 144.95604426)"
Thursday,25,407.0,Melbourne Convention Exhibition Centre,-37.82401776,144.95604426,"(-37.82401776, 144.95604426)"
Tuesday,25,420.0,Melbourne Convention Exhibition Centre,-37.82401776,144.95604426,"(-37.82401776, 144.95604426)"
Wednesday,25,432.0,Melbourne Convention Exhibition Centre,-37.82401776,144.95604426,"(-37.82401776, 144.95604426)"
Friday,26,311.0,QV Market-Elizabeth St (West),-37.80869542,144.96049404,"(-37.80869542, 144.96049404)"
Monday,26,213.0,QV Market-Elizabeth St (West),-37.80869542,144.96049404,"(-37.80869542, 144.96049404)"
Saturday,26,349.0,QV Market-Elizabeth St (West),-37.80869542,144.96049404,"(-37.80869542, 144.96049404)"
Sunday,26,337.0,QV Market-Elizabeth St (West),-37.80869542,144.96049404,"(-37.80869542, 144.96049404)"
Thursday,26,307.0,QV Market-Elizabeth St (West),-37.80869542,144.96049404,"(-37.80869542, 144.96049404)"
Tuesday,26,297.0,QV Market-Elizabeth St (West),-37.80869542,144.96049404,"(-37.80869542, 144.96049404)"
Wednesday,26,258.0,QV Market-Elizabeth St (West),-37.80869542,144.96049404,"(-37.80869542, 144.96049404)"
Friday,27,75.0,QV Market-Peel St,-37.80606888,144.95644693,"(-37.80606888, 144.95644693)"
Monday,27,50.0,QV Market-Peel St,-37.80606888,144.95644693,"(-37.80606888, 144.95644693)"
Saturday,27,98.0,QV Market-Peel St,-37.80606888,144.95644693,"(-37.80606888, 144.95644693)"
Sunday,27,88.0,QV Market-Peel St,-37.80606888,144.95644693,"(-37.80606888, 144.95644693)"
Thursday,27,76.0,QV Market-Peel St,-37.80606888,144.95644693,"(-37.80606888, 144.95644693)"
Tuesday,27,69.0,QV Market-Peel St,-37.80606888,144.95644693,"(-37.80606888, 144.95644693)"
Wednesday,27,59.0,QV Market-Peel St,-37.80606888,144.95644693,"(-37.80606888, 144.95644693)"
Friday,28,406.0,The Arts Centre,-37.82129924,144.96879309,"(-37.82129924, 144.96879309)"
Monday,28,333.0,The Arts Centre,-37.82129924,144.96879309,"(-37.82129924, 144.96879309)"
Saturday,28,397.0,The Arts Centre,-37.82129924,144.96879309,"(-37.82129924, 144.96879309)"
Sunday,28,328.0,The Arts Centre,-37.82129924,144.96879309,"(-37.82129924, 144.96879309)"
Thursday,28,391.0,The Arts Centre,-37.82129924,144.96879309,"(-37.82129924, 144.96879309)"
Tuesday,28,335.0,The Arts Centre,-37.82129924,144.96879309,"(-37.82129924, 144.96879309)"
