Day,Sensor_ID,Hourly_Counts,sensor_description,latitude,longitude,location
Sunday,43,28.0,Monash Rd-Swanston St (West),-37.79844525,144.96411782,"(-37.79844525, 144.96411782)"
Thursday,43,63.0,Monash Rd-Swanston St (West),-37.79844525,144.96411782,"(-37.79844525, 144.96411782)"
Tuesday,43,70.0,Monash Rd-Swanston St (West),-37.79844525,144.96411782,"(-37.79844525, 144.96411782)"
Wednesday,43,67.0,Monash Rd-Swanston St (West),-37.79844525,144.96411782,"(-37.79844525, 144.96411782)"
Friday,44,27.0,Tin Alley-Swanston St (West),-37.79690473,144.96440378,"(-37.79690473, 144.96440378)"
Monday,44,30.0,Tin Alley-Swanston St (West),-37.79690473,144.96440378,"(-37.79690473, 144.96440378)"
Saturday,44,17.0,Tin Alley-Swanston St (West),-37.79690473,144.96440378,"(-37.79690473, 144.96440378)"
Sunday,44,17.0,Tin Alley-Swanston St (West),-37.79690473,144.96440378,"(-37.79690473, 144.96440378)"
Thursday,44,30.0,Tin Alley-Swanston St (West),-37.79690473,144.96440378,"(-37.79690473, 144.96440378)"
Tuesday,44,33.0,Tin Alley-Swanston St (West),-37.79690473,144.96440378,"(-37.79690473, 144.96440378)"
Wednesday,44,33.0,Tin Alley-Swanston St (West),-37.79690473,144.96440378,"(-37.79690473, 144.96440378)"
Friday,45,368.0,Little Collins St-Swanston St (East),-37.81414074,144.9660938,"(-37.81414074, 144.9660938)"
Monday,45,300.0,Little Collins St-Swanston St (East),-37.81414074,144.9660938,"(-37.81414074, 144.9660938)"
Saturday,45,360.0,Little Collins St-Swanston St (East),-37.81414074,144.9660938,"(-37.81414074, 144.9660938)"
Sunday,45,294.0,Little Collins St-Swanston St (East),-37.81414074,144.9660938,"(-37.81414074, 144.9660938)"
Thursday,45,340.0,Little Collins St-Swanston St (East),-37.81414074,144.9660938,"(-37.81414074, 144.9660938)"
Tuesday,45,316.0,Little Collins St-Swanston St (East),-37.81414074,144.9660938,"(-37.81414074, 144.9660938)"
Wednesday,45,341.0,Little Collins St-Swanston St (East),-37.81414074,144.9660938,"(-37.81414074, 144.9660938)"
Friday,46,40.0,Pelham St (South),-37.80240719,144.96156731,"(-37.80240719, 144.96156731)"
Monday,46,40.0,Pelham St (South),-37.80240719,144.96156731,"(-37.80240719, 144.96156731)"
Saturday,46,22.0,Pelham St (South),-37.80240719,144.96156731,"(-37.80240719, 144.96156731)"
Sunday,46,20.0,Pelham St (South),-37.80240719,144.96156731,"(-37.80240719, 144.96156731)"
Thursday,46,41.0,Pelham St (South),-37.80240719,144.96156731,"(-37.80240719, 144.96156731)"
Tuesday,46,43.0,Pelham St (South),-37.80240719,144.96156731,"(-37.80240719, 144.96156731)"
Wednesday,46,43.0,Pelham St (South),-37.80240719,144.96156731,"(-37.80240719, 144.96156731)"
Friday,47,487.0,Melbourne Central-Elizabeth St (East),-37.81160331,144.96220077,"(-37.81160331, 144.96220077)"
Monday,47,419.0,Melbourne Central-Elizabeth St (East),-37.81160331,144.96220077,"(-37.81160331, 144.96220077)"
Saturday,47,466.0,Melbourne Central-Elizabeth St (East),-37.81160331,144.96220077,"(-37.81160331, 144.96220077)"
Sunday,47,388.0,Melbourne Central-Elizabeth St (East),-37.81160331,144.96220077,"(-37.81160331, 144.96220077)"
Thursday,47,463.0,Melbourne Central-Elizabeth St (East),-37.81160331,144.96220077,"(-37.81160331, 144.96220077)"
Tuesday,47,437.0,Melbourne Central-Elizabeth St (East),-37.81160331,144.96220077,"(-37.81160331, 144.96220077)"
Wednesday,47,457.0,Melbourne Central-Elizabeth St (East),-37.81160331,144.96220077,"(-37.81160331, 144.96220077)"
Friday,48,131.0,QVM-Queen St (East),-37.80631581,144.95866698,"(-37.80631581, 144.95866698)"
Monday,48,80.0,QVM-Queen St (East),-37.80631581,144.95866698,"(-37.80631581, 144.95866698)"
Saturday,48,214.0,QVM-Queen St (East),-37.80631581,144.95866698,"(-37.80631581, 144.95866698)"
Sunday,48,188.0,QVM-Queen St (East),-37.80631581,144.95866698,"(-37.80631581, 144.95866698)"
Thursday,48,135.0,QVM-Queen St (East),-37.80631581,144.95866698,"(-37.80631581, 144.95866698)"
Tuesday,48,124.0,QVM-Queen St (East),-37.80631581,144.95866698,"(-37.80631581, 144.95866698)"
Wednesday,48,131.0,QVM-Queen St (East),-37.80631581,144.95866698,"(-37.80631581, 144.95866698)"
Friday,49,107.0,QVM-Therry St (South),-37.80730067,144.95956055,"(-37.80730067, 144.95956055)"
Monday,49,73.0,QVM-Therry St (South),-37.80730067,144.95956055,"(-37.80730067, 144.95956055)"
Saturday,49,132.0,QVM-Therry St (South),-37.80730067,144.95956055,"(-37.80730067, 144.95956055)"
Sunday,49,132.0,QVM-Therry St (South),-37.80730067,144.95956055,"(-37.80730067, 144.95956055)"
Thursday,49,103.0,QVM-Therry St (South),-37.80730067,144.95956055,"(-37.80730067, 144.95956055)"
Tuesday,49,97.0,QVM-Therry St (South),-37.80730067,144.95956055,"(-37.80730067, 144.95956055)"
Wednesday,49,89.0,QVM-Therry St (South),-37.80730067,144.95956055,"(-37.80730067, 144.95956055)"
Friday,50,160.0,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
Monday,50,138.0,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
Saturday,50,192.0,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
Sunday,50,154.0,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
Thursday,50,141.0,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
Tuesday,50,132.0,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
Wednesday,50,142.0,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
Friday,51,86.0,QVM-Franklin St (North),-37.80841814,144.95906317,"(-37.80841814, 144.95906317)"
Monday,51,72.0,QVM-Franklin St (North),-37.80841814,144.95906317,"(-37.80841814, 144.95906317)"
Saturday,51,86.0,QVM-Franklin St (North),-37.80841814,144.95906317,"(-37.80841814, 144.95906317)"
Sunday,51,80.0,QVM-Franklin St (North),-37.80841814,144.95906317,"(-37.80841814, 144.95906317)"
Thursday,51,84.0,QVM-Franklin St (North),-37.80841814,144.95906317,"(-37.80841814, 144.95906317)"
Tuesday,51,81.0,QVM-Franklin St (North),-37.80841814,144.95906317,"(-37.80841814, 144.95906317)"
Wednesday,51,88.0,QVM-Franklin St (North),-37.80841814,144.95906317,"(-37.80841814, 144.95906317)"
Friday,52,173.0,Elizabeth St-Lonsdale St (South),-37.81252157,144.9619401,"(-37.81252157, 144.9619401)"
Monday,52,141.0,Elizabeth St-Lonsdale St (South),-37.81252157,144.9619401,"(-37.81252157, 144.9619401)"
Saturday,52,168.0,Elizabeth St-Lonsdale St (South),-37.81252157,144.9619401,"(-37.81252157, 144.9619401)"
Sunday,52,135.0,Elizabeth St-Lonsdale St (South),-37.81252157,144.9619401,"(-37.81252157, 144.9619401)"
Thursday,52,157.0,Elizabeth St-Lonsdale St (South),-37.81252157,144.9619401,"(-37.81252157, 144.9619401)"
Tuesday,52,151.0,Elizabeth St-Lonsdale St (South),-37.81252157,144.9619401,"(-37.81252157, 144.9619401)"
Wednesday,52,157.0,Elizabeth St-Lonsdale St (South),-37.81252157,144.9619401,"(-37.81252157, 144.9619401)"
Friday,53,335.0,Collins Street (North),-37.8156419,144.965499,"(-37.8156419, 144.965499)"
Monday,53,291.0,Collins Street (North),-37.8156419,144.965499,"(-37.8156419, 144.965499)"
Saturday,53,267.0,Collins Street (North),-37.8156419,144.965499,"(-37.8156419, 144.965499)"
Sunday,53,200.0,Collins Street (North),-37.8156419,144.965499,"(-37.8156419, 144.965499)"
Thursday,53,330.0,Collins Street (North),-37.8156419,144.965499,"(-37.8156419, 144.965499)"
Tuesday,53,316.0,Collins Street (North),-37.8156419,144.965499,"(-37.8156419, 144.965499)"
Wednesday,53,328.0,Collins Street (North),-37.8156419,144.965499,"(-37.8156419, 144.965499)"
Friday,54,50.0,Lincoln-Swanston (West),-37.804024,144.963084,"(-37.804024, 144.963084)"
Monday,54,50.0,Lincoln-Swanston (West),-37.804024,144.963084,"(-37.804024, 144.963084)"
Saturday,54,31.0,Lincoln-Swanston (West),-37.804024,144.963084,"(-37.804024, 144.963084)"
Sunday,54,26.0,Lincoln-Swanston (West),-37.804024,144.963084,"(-37.804024, 144.963084)"
Thursday,54,56.0,Lincoln-Swanston (West),-37.804024,144.963084,"(-37.804024, 144.963084)"
Tuesday,54,51.0,Lincoln-Swanston (West),-37.804024,144.963084,"(-37.804024, 144.963084)"
Wednesday,54,53.0,Lincoln-Swanston (West),-37.804024,144.963084,"(-37.804024, 144.963084)"
Friday,55,543.0,Elizabeth St-La Trobe St (East),-37.80988941,144.96134331,"(-37.80988941, 144.96134331)"
Monday,55,470.0,Elizabeth St-La Trobe St (East),-37.80988941,144.96134331,"(-37.80988941, 144.96134331)"
Saturday,55,527.0,Elizabeth St-La Trobe St (East),-37.80988941,144.96134331,"(-37.80988941, 144.96134331)"
Sunday,55,466.0,Elizabeth St-La Trobe St (East),-37.80988941,144.96134331,"(-37.80988941, 144.96134331)"
Thursday,55,513.0,Elizabeth St-La Trobe St (East),-37.80988941,144.96134331,"(-37.80988941, 144.96134331)"
Tuesday,55,497.0,Elizabeth St-La Trobe St (East),-37.80988941,144.96134331,"(-37.80988941, 144.96134331)"
Wednesday,55,507.0,Elizabeth St-La Trobe St (East),-37.80988941,144.96134331,"(-37.80988941, 144.96134331)"
Friday,56,154.0,Lonsdale St - Elizabeth St (North),-37.81234775,144.96153311,"(-37.81234775, 144.96153311)"
Monday,56,135.0,Lonsdale St - Elizabeth St (North),-37.81234775,144.96153311,"(-37.81234775, 144.96153311)"
Saturday,56,138.0,Lonsdale St - Elizabeth St (North),-37.81234775,144.96153311,"(-37.81234775, 144.96153311)"
Sunday,56,116.0,Lonsdale St - Elizabeth St (North),-37.81234775,144.96153311,"(-37.81234775, 144.96153311)"
Thursday,56,149.0,Lonsdale St - Elizabeth St (North),-37.81234775,144.96153311,"(-37.81234775, 144.96153311)"
Tuesday,56,142.0,Lonsdale St - Elizabeth St (North),-37.81234775,144.96153311,"(-37.81234775, 144.96153311)"
Wednesday,56,146.0,Lonsdale St - Elizabeth St (North),-37.81234775,144.96153311,"(-37.81234775, 144.96153311)"
Friday,57,289.0,Bourke St Bridge,-37.8176735,144.95025595,"(-37.8176735, 144.95025595)"
Monday,57,231.0,Bourke St Bridge,-37.8176735,144.95025595,"(-37.8176735, 144.95025595)"
Saturday,57,82.0,Bourke St Bridge,-37.8176735,144.95025595,"(-37.8176735, 144.95025595)"
Sunday,57,58.0,Bourke St Bridge,-37.8176735,144.95025595,"(-37.8176735, 144.95025595)"
Thursday,57,257.0,Bourke St Bridge,-37.8176735,144.95025595,"(-37.8176735, 144.95025595)"
Tuesday,57,291.0,Bourke St Bridge,-37.8176735,144.95025595,"(-37.8176735, 144.95025595)"
Wednesday,57,265.0,Bourke St Bridge,-37.8176735,144.95025595,"(-37.8176735, 144.95025595)"
Friday,58,337.0,Bourke St - Spencer St (North),-37.81686074,144.95358075,"(-37.81686074, 144.95358075)"
Monday,58,289.0,Bourke St - Spencer St (North),-37.81686074,144.95358075,"(-37.81686074, 144.95358075)"
Saturday,58,200.0,Bourke St - Spencer St (North),-37.81686074,144.95358075,"(-37.81686074, 144.95358075)"
Sunday,58,170.0,Bourke St - Spencer St (North),-37.81686074,144.95358075,"(-37.81686074, 144.95358075)"
Thursday,58,326.0,Bourke St - Spencer St (North),-37.81686074,144.95358075,"(-37.81686074, 144.95358075)"
Tuesday,58,321.0,Bourke St - Spencer St (North),-37.81686074,144.95358075,"(-37.81686074, 144.95358075)"
Wednesday,58,328.0,Bourke St - Spencer St (North),-37.81686074,144.95358075,"(-37.81686074, 144.95358075)"
Friday,59,82.0,Building 80 RMIT,-37.80825648,144.96304859,"(-37.80825648, 144.96304859)"
Monday,59,78.0,Building 80 RMIT,-37.80825648,144.96304859,"(-37.80825648, 144.96304859)"
Saturday,59,67.0,Building 80 RMIT,-37.80825648,144.96304859,"(-37.80825648, 144.96304859)"
Sunday,59,60.0,Building 80 RMIT,-37.80825648,144.96304859,"(-37.80825648, 144.96304859)"
Thursday,59,84.0,Building 80 RMIT,-37.80825648,144.96304859,"(-37.80825648, 144.96304859)"
Tuesday,59,85.0,Building 80 RMIT,-37.80825648,144.96304859,"(-37.80825648, 144.96304859)"
Wednesday,59,85.0,Building 80 RMIT,-37.80825648,144.96304859,"(-37.80825648, 144.96304859)"
Friday,61,192.0,RMIT Building 14,-37.80767455,144.96309115,"(-37.80767455, 144.96309115)"
Monday,61,179.0,RMIT Building 14,-37.80767455,144.96309115,"(-37.80767455, 144.96309115)"
Saturday,61,142.0,RMIT Building 14,-37.80767455,144.96309115,"(-37.80767455, 144.96309115)"
Sunday,61,129.0,RMIT Building 14,-37.80767455,144.96309115,"(-37.80767455, 144.96309115)"
Thursday,61,196.0,RMIT Building 14,-37.80767455,144.96309115,"(-37.80767455, 144.96309115)"
Tuesday,61,197.0,RMIT Building 14,-37.80767455,144.96309115,"(-37.80767455, 144.96309115)"
Wednesday,61,196.0,RMIT Building 14,-37.80767455,144.96309115,"(-37.80767455, 144.96309115)"
Friday,62,82.0,La Trobe St (North),-37.80996494,144.96216521,"(-37.80996494, 144.96216521)"
Monday,62,69.0,La Trobe St (North),-37.80996494,144.96216521,"(-37.80996494, 144.96216521)"
Saturday,62,76.0,La Trobe St (North),-37.80996494,144.96216521,"(-37.80996494, 144.96216521)"
Sunday,62,61.0,La Trobe St (North),-37.80996494,144.96216521,"(-37.80996494, 144.96216521)"
Thursday,62,72.0,La Trobe St (North),-37.80996494,144.96216521,"(-37.80996494, 144.96216521)"
Tuesday,62,69.0,La Trobe St (North),-37.80996494,144.96216521,"(-37.80996494, 144.96216521)"
Wednesday,62,76.0,La Trobe St (North),-37.80996494,144.96216521,"(-37.80996494, 144.96216521)"
Friday,63,199.0,231 Bourke St,-37.81333081,144.96675572,"(-37.81333081, 144.96675572)"
Monday,63,168.0,231 Bourke St,-37.81333081,144.96675572,"(-37.81333081, 144.96675572)"
Saturday,63,189.0,231 Bourke St,-37.81333081,144.96675572,"(-37.81333081, 144.96675572)"
Sunday,63,143.0,231 Bourke St,-37.81333081,144.96675572,"(-37.81333081, 144.96675572)"
Thursday,63,182.0,231 Bourke St,-37.81333081,144.96675572,"(-37.81333081, 144.96675572)"
Tuesday,63,167.0,231 Bourke St,-37.81333081,144.96675572,"(-37.81333081, 144.96675572)"
Wednesday,63,180.0,231 Bourke St,-37.81333081,144.96675572,"(-37.81333081, 144.96675572)"
Friday,64,107.0,Royal Pde - Grattan St,-37.79949544,144.95792282,"(-37.79949544, 144.95792282)"
Monday,64,106.0,Royal Pde - Grattan St,-37.79949544,144.95792282,"(-37.79949544, 144.95792282)"
Saturday,64,38.0,Royal Pde - Grattan St,-37.79949544,144.95792282,"(-37.79949544, 144.95792282)"
Sunday,64,36.0,Royal Pde - Grattan St,-37.79949544,144.95792282,"(-37.79949544, 144.95792282)"
Thursday,64,109.0,Royal Pde - Grattan St,-37.79949544,144.95792282,"(-37.79949544, 144.95792282)"
Tuesday,64,119.0,Royal Pde - Grattan St,-37.79949544,144.95792282,"(-37.79949544, 144.95792282)"
Wednesday,64,113.0,Royal Pde - Grattan St,-37.79949544,144.95792282,"(-37.79949544, 144.95792282)"
Friday,65,160.0,Swanston St - City Square,-37.81569416,144.96680641,"(-37.81569416, 144.96680641)"
Monday,65,124.0,Swanston St - City Square,-37.81569416,144.96680641,"(-37.81569416, 144.96680641)"
Saturday,65,171.0,Swanston St - City Square,-37.81569416,144.96680641,"(-37.81569416, 144.96680641)"
Sunday,65,124.0,Swanston St - City Square,-37.81569416,144.96680641,"(-37.81569416, 144.96680641)"
Thursday,65,135.0,Swanston St - City Square,-37.81569416,144.96680641,"(-37.81569416, 144.96680641)"
Tuesday,65,129.0,Swanston St - City Square,-37.81569416,144.96680641,"(-37.81569416, 144.96680641)"
Wednesday,65,138.0,Swanston St - City Square,-37.81569416,144.96680641,"(-37.81569416, 144.96680641)"
Friday,66,293.0,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
Monday,66,251.0,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
Saturday,66,343.0,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
Sunday,66,283.0,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
Thursday,66,265.0,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
Tuesday,66,252.0,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
Wednesday,66,272.0,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
Friday,67,162.0,Flinders Ln -Degraves St (South),-37.81688755,144.9656257,"(-37.81688755, 144.9656257)"
Monday,67,145.0,Flinders Ln -Degraves St (South),-37.81688755,144.9656257,"(-37.81688755, 144.9656257)"
Saturday,67,166.0,Flinders Ln -Degraves St (South),-37.81688755,144.9656257,"(-37.81688755, 144.9656257)"
Sunday,67,121.0,Flinders Ln -Degraves St (South),-37.81688755,144.9656257,"(-37.81688755, 144.9656257)"
Thursday,67,153.0,Flinders Ln -Degraves St (South),-37.81688755,144.9656257,"(-37.81688755, 144.9656257)"
Tuesday,67,147.0,Flinders Ln -Degraves St (South),-37.81688755,144.9656257,"(-37.81688755, 144.9656257)"
Wednesday,67,162.0,Flinders Ln -Degraves St (South),-37.81688755,144.9656257,"(-37.81688755, 144.9656257)"
Friday,68,77.0,Flinders Ln -Degraves St (North),-37.81684789,144.96559789,"(-37.81684789, 144.96559789)"
Monday,68,76.0,Flinders Ln -Degraves St (North),-37.81684789,144.96559789,"(-37.81684789, 144.96559789)"
Saturday,68,85.0,Flinders Ln -Degraves St (North),-37.81684789,144.96559789,"(-37.81684789, 144.96559789)"
Sunday,68,64.0,Flinders Ln -Degraves St (North),-37.81684789,144.96559789,"(-37.81684789, 144.96559789)"
Thursday,68,83.0,Flinders Ln -Degraves St (North),-37.81684789,144.96559789,"(-37.81684789, 144.96559789)"
Tuesday,68,76.0,Flinders Ln -Degraves St (North),-37.81684789,144.96559789,"(-37.81684789, 144.96559789)"
Wednesday,68,81.0,Flinders Ln -Degraves St (North),-37.81684789,144.96559789,"(-37.81684789, 144.96559789)"
Friday,69,84.0,Flinders Ln -Degraves St (Crossing),-37.81687225,144.96559145,"(-37.81687225, 144.96559145)"
Monday,69,79.0,Flinders Ln -Degraves St (Crossing),-37.81687225,144.96559145,"(-37.81687225, 144.96559145)"
Saturday,69,93.0,Flinders Ln -Degraves St (Crossing),-37.81687225,144.96559145,"(-37.81687225, 144.96559145)"
Sunday,69,70.0,Flinders Ln -Degraves St (Crossing),-37.81687225,144.96559145,"(-37.81687225, 144.96559145)"
Thursday,69,79.0,Flinders Ln -Degraves St (Crossing),-37.81687225,144.96559145,"(-37.81687225, 144.96559145)"
Tuesday,69,76.0,Flinders Ln -Degraves St (Crossing),-37.81687225,144.96559145,"(-37.81687225, 144.96559145)"
Wednesday,69,85.0,Flinders Ln -Degraves St (Crossing),-37.81687225,144.96559145,"(-37.81687225, 144.96559145)"
Friday,70,132.0,Errol Street (East),-37.80456984,144.94946229,"(-37.80456984, 144.94946229)"
Monday,70,116.0,Errol Street (East),-37.80456984,144.94946229,"(-37.80456984, 144.94946229)"
Saturday,70,117.0,Errol Street (East),-37.80456984,144.94946229,"(-37.80456984, 144.94946229)"
Sunday,70,90.0,Errol Street (East),-37.80456984,144.94946229,"(-37.80456984, 144.94946229)"
Thursday,70,124.0,Errol Street (East),-37.80456984,144.94946229,"(-37.80456984, 144.94946229)"
Tuesday,70,118.0,Errol Street (East),-37.80456984,144.94946229,"(-37.80456984, 144.94946229)"
Wednesday,70,128.0,Errol Street (East),-37.80456984,144.94946229,"(-37.80456984, 144.94946229)"
Friday,71,30.0,Westwood Place,-37.81235775,144.97136962,"(-37.81235775, 144.97136962)"
Monday,71,23.0,Westwood Place,-37.81235775,144.97136962,"(-37.81235775, 144.97136962)"
Saturday,71,18.0,Westwood Place,-37.81235775,144.97136962,"(-37.81235775, 144.97136962)"
Sunday,71,16.0,Westwood Place,-37.81235775,144.97136962,"(-37.81235775, 144.97136962)"
Thursday,71,25.0,Westwood Place,-37.81235775,144.97136962,"(-37.81235775, 144.97136962)"
Tuesday,71,23.0,Westwood Place,-37.81235775,144.97136962,"(-37.81235775, 144.97136962)"
Wednesday,71,29.0,Westwood Place,-37.81235775,144.97136962,"(-37.81235775, 144.97136962)"
Friday,73,98.0,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
Monday,73,67.0,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
Saturday,73,79.0,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
Sunday,73,70.0,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
Thursday,73,78.0,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
Tuesday,73,79.0,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
Wednesday,73,81.0,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
