Australian Bureau of Statistics

"2016 Census - Counting Persons, Place of Usual Residence (MB)"
"INCP Total Personal Income (weekly) by MB by Commonwealth Electoral Divisions (UR)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"Counting","INCP Total Personal Income (weekly)","MB by Commonwealth Electoral Divisions (UR)","Count",
"Persons Place of Usual Residence","Negative income","Casey",602
"Persons Place of Usual Residence","Negative income","Dunkley",546
"Persons Place of Usual Residence","Negative income","Gellibrand",735
"Persons Place of Usual Residence","Negative income","Nicholls",825
"Persons Place of Usual Residence","Negative income","Indi",592
"Persons Place of Usual Residence","Negative income","Corio",515
"Persons Place of Usual Residence","Negative income","Corangamite",371
"Persons Place of Usual Residence","Negative income","McEwen",410
"Persons Place of Usual Residence","Negative income","Monash",571
"Persons Place of Usual Residence","Negative income","Bendigo",421
"Persons Place of Usual Residence","Negative income","Wannon",784
"Persons Place of Usual Residence","Negative income","Mallee",1019
"Persons Place of Usual Residence","Negative income","Hawke",619
"Persons Place of Usual Residence","Negative income","Ballarat",526
"Persons Place of Usual Residence","Negative income","Gippsland",634
"Persons Place of Usual Residence","Negative income","Flinders",456
"Persons Place of Usual Residence","Negative income","Wills",586
"Persons Place of Usual Residence","Negative income","Melbourne",1135
"Persons Place of Usual Residence","Negative income","Cooper",655
"Persons Place of Usual Residence","Negative income","Maribyrnong",611
"Persons Place of Usual Residence","Negative income","Macnamara",605
"Persons Place of Usual Residence","Negative income","Higgins",552
"Persons Place of Usual Residence","Negative income","Kooyong",568
"Persons Place of Usual Residence","Negative income","Menzies",729
"Persons Place of Usual Residence","Negative income","Chisholm",945
"Persons Place of Usual Residence","Negative income","Deakin",530
"Persons Place of Usual Residence","Negative income","Goldstein",478
"Persons Place of Usual Residence","Negative income","Hotham",1209
"Persons Place of Usual Residence","Negative income","Isaacs",538
"Persons Place of Usual Residence","Negative income","Jagajaga",525
"Persons Place of Usual Residence","Negative income","Scullin",880
"Persons Place of Usual Residence","Negative income","Gorton",950
"Persons Place of Usual Residence","Negative income","Calwell",1104
"Persons Place of Usual Residence","Negative income","Aston",554
"Persons Place of Usual Residence","Negative income","La Trobe",441
"Persons Place of Usual Residence","Negative income","Bruce",1044
"Persons Place of Usual Residence","Negative income","Holt",851
"Persons Place of Usual Residence","Negative income","Fraser",1135
"Persons Place of Usual Residence","Negative income","Lalor",814
"Persons Place of Usual Residence","Negative income","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","Negative income","No usual address (Vic.)",54
"Persons Place of Usual Residence","Negative income","Total",27121
"Persons Place of Usual Residence","Nil income","Casey",9883
"Persons Place of Usual Residence","Nil income","Dunkley",9826
"Persons Place of Usual Residence","Nil income","Gellibrand",13586
"Persons Place of Usual Residence","Nil income","Nicholls",8043
"Persons Place of Usual Residence","Nil income","Indi",7129
"Persons Place of Usual Residence","Nil income","Corio",9224
"Persons Place of Usual Residence","Nil income","Corangamite",7040
"Persons Place of Usual Residence","Nil income","McEwen",9184
"Persons Place of Usual Residence","Nil income","Monash",6976
"Persons Place of Usual Residence","Nil income","Bendigo",7173
"Persons Place of Usual Residence","Nil income","Wannon",7069
"Persons Place of Usual Residence","Nil income","Mallee",8170
"Persons Place of Usual Residence","Nil income","Hawke",9964
"Persons Place of Usual Residence","Nil income","Ballarat",7690
"Persons Place of Usual Residence","Nil income","Gippsland",8106
"Persons Place of Usual Residence","Nil income","Flinders",7813
"Persons Place of Usual Residence","Nil income","Wills",11184
"Persons Place of Usual Residence","Nil income","Melbourne",24420
"Persons Place of Usual Residence","Nil income","Cooper",11393
"Persons Place of Usual Residence","Nil income","Maribyrnong",10338
"Persons Place of Usual Residence","Nil income","Macnamara",11348
