"Counting","AGEP Age","MB by Commonwealth Electoral Divisions (UR)","Count"
"Persons Place of Usual Residence","28","Calwell",2470
"Persons Place of Usual Residence","28","Aston",2042
"Persons Place of Usual Residence","28","La Trobe",1539
"Persons Place of Usual Residence","28","Bruce",2563
"Persons Place of Usual Residence","28","Holt",2285
"Persons Place of Usual Residence","28","Fraser",3684
"Persons Place of Usual Residence","28","Lalor",2527
"Persons Place of Usual Residence","28","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","28","No usual address (Vic.)",166
"Persons Place of Usual Residence","28","Total",89367
"Persons Place of Usual Residence","29","Casey",1735
"Persons Place of Usual Residence","29","Dunkley",1909
"Persons Place of Usual Residence","29","Gellibrand",2761
"Persons Place of Usual Residence","29","Nicholls",1612
"Persons Place of Usual Residence","29","Indi",1402
"Persons Place of Usual Residence","29","Corio",2004
"Persons Place of Usual Residence","29","Corangamite",1252
"Persons Place of Usual Residence","29","McEwen",1586
"Persons Place of Usual Residence","29","Monash",1240
"Persons Place of Usual Residence","29","Bendigo",1600
"Persons Place of Usual Residence","29","Wannon",1460
"Persons Place of Usual Residence","29","Mallee",1616
"Persons Place of Usual Residence","29","Hawke",1870
"Persons Place of Usual Residence","29","Ballarat",1543
"Persons Place of Usual Residence","29","Gippsland",1512
"Persons Place of Usual Residence","29","Flinders",1195
"Persons Place of Usual Residence","29","Wills",3453
"Persons Place of Usual Residence","29","Melbourne",6041
"Persons Place of Usual Residence","29","Cooper",3027
"Persons Place of Usual Residence","29","Maribyrnong",2410
"Persons Place of Usual Residence","29","Macnamara",4417
"Persons Place of Usual Residence","29","Higgins",3369
"Persons Place of Usual Residence","29","Kooyong",2203
"Persons Place of Usual Residence","29","Menzies",1862
"Persons Place of Usual Residence","29","Chisholm",2252
"Persons Place of Usual Residence","29","Deakin",2068
"Persons Place of Usual Residence","29","Goldstein",1393
"Persons Place of Usual Residence","29","Hotham",3211
"Persons Place of Usual Residence","29","Isaacs",1947
"Persons Place of Usual Residence","29","Jagajaga",1784
"Persons Place of Usual Residence","29","Scullin",2658
"Persons Place of Usual Residence","29","Gorton",2330
"Persons Place of Usual Residence","29","Calwell",2424
"Persons Place of Usual Residence","29","Aston",1927
"Persons Place of Usual Residence","29","La Trobe",1566
"Persons Place of Usual Residence","29","Bruce",2583
"Persons Place of Usual Residence","29","Holt",2495
"Persons Place of Usual Residence","29","Fraser",3454
"Persons Place of Usual Residence","29","Lalor",2676
"Persons Place of Usual Residence","29","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","29","No usual address (Vic.)",194
"Persons Place of Usual Residence","29","Total",88068
"Persons Place of Usual Residence","30","Casey",1825
"Persons Place of Usual Residence","30","Dunkley",2023
"Persons Place of Usual Residence","30","Gellibrand",2788
"Persons Place of Usual Residence","30","Nicholls",1596
"Persons Place of Usual Residence","30","Indi",1456
"Persons Place of Usual Residence","30","Corio",2033
"Persons Place of Usual Residence","30","Corangamite",1340
"Persons Place of Usual Residence","30","McEwen",1578
"Persons Place of Usual Residence","30","Monash",1311
"Persons Place of Usual Residence","30","Bendigo",1637
"Persons Place of Usual Residence","30","Wannon",1447
"Persons Place of Usual Residence","30","Mallee",1690
"Persons Place of Usual Residence","30","Hawke",1885
"Persons Place of Usual Residence","30","Ballarat",1584
"Persons Place of Usual Residence","30","Gippsland",1608
"Persons Place of Usual Residence","30","Flinders",1241
"Persons Place of Usual Residence","30","Wills",3432
"Persons Place of Usual Residence","30","Melbourne",6018
"Persons Place of Usual Residence","30","Cooper",3075
"Persons Place of Usual Residence","30","Maribyrnong",2570
"Persons Place of Usual Residence","30","Macnamara",4471
"Persons Place of Usual Residence","30","Higgins",3395
"Persons Place of Usual Residence","30","Kooyong",2203
"Persons Place of Usual Residence","30","Menzies",1926
"Persons Place of Usual Residence","30","Chisholm",2209
"Persons Place of Usual Residence","30","Deakin",2132
"Persons Place of Usual Residence","30","Goldstein",1446
"Persons Place of Usual Residence","30","Hotham",3313
"Persons Place of Usual Residence","30","Isaacs",1980
"Persons Place of Usual Residence","30","Jagajaga",1871
"Persons Place of Usual Residence","30","Scullin",2764
"Persons Place of Usual Residence","30","Gorton",2410
"Persons Place of Usual Residence","30","Calwell",2444
"Persons Place of Usual Residence","30","Aston",2128
"Persons Place of Usual Residence","30","La Trobe",1802
"Persons Place of Usual Residence","30","Bruce",2539
"Persons Place of Usual Residence","30","Holt",2616
"Persons Place of Usual Residence","30","Fraser",3570
"Persons Place of Usual Residence","30","Lalor",2887
"Persons Place of Usual Residence","30","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","30","No usual address (Vic.)",214
"Persons Place of Usual Residence","30","Total",90466
"Persons Place of Usual Residence","31","Casey",1782
"Persons Place of Usual Residence","31","Dunkley",2060
"Persons Place of Usual Residence","31","Gellibrand",3059
"Persons Place of Usual Residence","31","Nicholls",1677
"Persons Place of Usual Residence","31","Indi",1506
"Persons Place of Usual Residence","31","Corio",1997
"Persons Place of Usual Residence","31","Corangamite",1271
"Persons Place of Usual Residence","31","McEwen",1802
"Persons Place of Usual Residence","31","Monash",1334
"Persons Place of Usual Residence","31","Bendigo",1583
"Persons Place of Usual Residence","31","Wannon",1436
"Persons Place of Usual Residence","31","Mallee",1722
"Persons Place of Usual Residence","31","Hawke",1980
"Persons Place of Usual Residence","31","Ballarat",1572
"Persons Place of Usual Residence","31","Gippsland",1633
"Persons Place of Usual Residence","31","Flinders",1273
"Persons Place of Usual Residence","31","Wills",3258
"Persons Place of Usual Residence","31","Melbourne",5521
"Persons Place of Usual Residence","31","Cooper",3151
"Persons Place of Usual Residence","31","Maribyrnong",2567
"Persons Place of Usual Residence","31","Macnamara",4323
"Persons Place of Usual Residence","31","Higgins",3169
"Persons Place of Usual Residence","31","Kooyong",2017
"Persons Place of Usual Residence","31","Menzies",1838
"Persons Place of Usual Residence","31","Chisholm",2217
"Persons Place of Usual Residence","31","Deakin",2307
"Persons Place of Usual Residence","31","Goldstein",1478
"Persons Place of Usual Residence","31","Hotham",3198
"Persons Place of Usual Residence","31","Isaacs",1985
"Persons Place of Usual Residence","31","Jagajaga",1948
"Persons Place of Usual Residence","31","Scullin",2843
"Persons Place of Usual Residence","31","Gorton",2460
"Persons Place of Usual Residence","31","Calwell",2426
"Persons Place of Usual Residence","31","Aston",2094
"Persons Place of Usual Residence","31","La Trobe",1785
"Persons Place of Usual Residence","31","Bruce",2544
"Persons Place of Usual Residence","31","Holt",2717
"Persons Place of Usual Residence","31","Fraser",3536
"Persons Place of Usual Residence","31","Lalor",3066
"Persons Place of Usual Residence","31","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","31","No usual address (Vic.)",156
"Persons Place of Usual Residence","31","Total",90305
"Persons Place of Usual Residence","32","Casey",1866
"Persons Place of Usual Residence","32","Dunkley",1979
"Persons Place of Usual Residence","32","Gellibrand",3160
"Persons Place of Usual Residence","32","Nicholls",1574
"Persons Place of Usual Residence","32","Indi",1441
"Persons Place of Usual Residence","32","Corio",1897
"Persons Place of Usual Residence","32","Corangamite",1386
"Persons Place of Usual Residence","32","McEwen",1655
"Persons Place of Usual Residence","32","Monash",1310
"Persons Place of Usual Residence","32","Bendigo",1584
"Persons Place of Usual Residence","32","Wannon",1487
"Persons Place of Usual Residence","32","Mallee",1664
"Persons Place of Usual Residence","32","Hawke",1954
"Persons Place of Usual Residence","32","Ballarat",1602
"Persons Place of Usual Residence","32","Gippsland",1658
"Persons Place of Usual Residence","32","Flinders",1261
"Persons Place of Usual Residence","32","Wills",3291
"Persons Place of Usual Residence","32","Melbourne",4978
"Persons Place of Usual Residence","32","Cooper",2901
"Persons Place of Usual Residence","32","Maribyrnong",2563
"Persons Place of Usual Residence","32","Macnamara",4234
"Persons Place of Usual Residence","32","Higgins",3007
"Persons Place of Usual Residence","32","Kooyong",2028
"Persons Place of Usual Residence","32","Menzies",2050
"Persons Place of Usual Residence","32","Chisholm",2186
"Persons Place of Usual Residence","32","Deakin",2314
"Persons Place of Usual Residence","32","Goldstein",1584
"Persons Place of Usual Residence","32","Hotham",3157
"Persons Place of Usual Residence","32","Isaacs",2110
"Persons Place of Usual Residence","32","Jagajaga",1956
"Persons Place of Usual Residence","32","Scullin",2865
"Persons Place of Usual Residence","32","Gorton",2493
"Persons Place of Usual Residence","32","Calwell",2393
"Persons Place of Usual Residence","32","Aston",2116
"Persons Place of Usual Residence","32","La Trobe",1804
"Persons Place of Usual Residence","32","Bruce",2642
"Persons Place of Usual Residence","32","Holt",2856
"Persons Place of Usual Residence","32","Fraser",3475
"Persons Place of Usual Residence","32","Lalor",3090
"Persons Place of Usual Residence","32","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","32","No usual address (Vic.)",158
"Persons Place of Usual Residence","32","Total",89723
"Persons Place of Usual Residence","33","Casey",1843
"Persons Place of Usual Residence","33","Dunkley",2060
"Persons Place of Usual Residence","33","Gellibrand",3322
"Persons Place of Usual Residence","33","Nicholls",1601
"Persons Place of Usual Residence","33","Indi",1497
"Persons Place of Usual Residence","33","Corio",1952
"Persons Place of Usual Residence","33","Corangamite",1435
"Persons Place of Usual Residence","33","McEwen",1722
"Persons Place of Usual Residence","33","Monash",1290
"Persons Place of Usual Residence","33","Bendigo",1692
"Persons Place of Usual Residence","33","Wannon",1497
"Persons Place of Usual Residence","33","Mallee",1578
"Persons Place of Usual Residence","33","Hawke",1847
"Persons Place of Usual Residence","33","Ballarat",1589
"Persons Place of Usual Residence","33","Gippsland",1626
"Persons Place of Usual Residence","33","Flinders",1292
"Persons Place of Usual Residence","33","Wills",3227
"Persons Place of Usual Residence","33","Melbourne",4506
"Persons Place of Usual Residence","33","Cooper",2945
"Persons Place of Usual Residence","33","Maribyrnong",2442
"Persons Place of Usual Residence","33","Macnamara",3989
"Persons Place of Usual Residence","33","Higgins",3045
"Persons Place of Usual Residence","33","Kooyong",1924
"Persons Place of Usual Residence","33","Menzies",2051
"Persons Place of Usual Residence","33","Chisholm",2214
"Persons Place of Usual Residence","33","Deakin",2321
"Persons Place of Usual Residence","33","Goldstein",1684
"Persons Place of Usual Residence","33","Hotham",3411
"Persons Place of Usual Residence","33","Isaacs",2214
"Persons Place of Usual Residence","33","Jagajaga",1985
"Persons Place of Usual Residence","33","Scullin",2874
"Persons Place of Usual Residence","33","Gorton",2578
"Persons Place of Usual Residence","33","Calwell",2458
"Persons Place of Usual Residence","33","Aston",1974
"Persons Place of Usual Residence","33","La Trobe",1756
"Persons Place of Usual Residence","33","Bruce",2715
"Persons Place of Usual Residence","33","Holt",2852
"Persons Place of Usual Residence","33","Fraser",3450
"Persons Place of Usual Residence","33","Lalor",3202
"Persons Place of Usual Residence","33","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","33","No usual address (Vic.)",141
"Persons Place of Usual Residence","33","Total",89808
"Persons Place of Usual Residence","34","Casey",1823
"Persons Place of Usual Residence","34","Dunkley",2013
"Persons Place of Usual Residence","34","Gellibrand",3370
"Persons Place of Usual Residence","34","Nicholls",1678
"Persons Place of Usual Residence","34","Indi",1462
"Persons Place of Usual Residence","34","Corio",1923
"Persons Place of Usual Residence","34","Corangamite",1476
"Persons Place of Usual Residence","34","McEwen",1826
"Persons Place of Usual Residence","34","Monash",1244
"Persons Place of Usual Residence","34","Bendigo",1570
"Persons Place of Usual Residence","34","Wannon",1477
"Persons Place of Usual Residence","34","Mallee",1539
"Persons Place of Usual Residence","34","Hawke",1984
"Persons Place of Usual Residence","34","Ballarat",1560
"Persons Place of Usual Residence","34","Gippsland",1554
"Persons Place of Usual Residence","34","Flinders",1360
"Persons Place of Usual Residence","34","Wills",2997
"Persons Place of Usual Residence","34","Melbourne",4044
"Persons Place of Usual Residence","34","Cooper",2814
"Persons Place of Usual Residence","34","Maribyrnong",2441
"Persons Place of Usual Residence","34","Macnamara",3713
"Persons Place of Usual Residence","34","Higgins",2783
"Persons Place of Usual Residence","34","Kooyong",1973
"Persons Place of Usual Residence","34","Menzies",1985
"Persons Place of Usual Residence","34","Chisholm",2303
"Persons Place of Usual Residence","34","Deakin",2280
"Persons Place of Usual Residence","34","Goldstein",1663
"Persons Place of Usual Residence","34","Hotham",3152
"Persons Place of Usual Residence","34","Isaacs",2121
"Persons Place of Usual Residence","34","Jagajaga",2073
"Persons Place of Usual Residence","34","Scullin",2760
"Persons Place of Usual Residence","34","Gorton",2522
"Persons Place of Usual Residence","34","Calwell",2356
"Persons Place of Usual Residence","34","Aston",2110
"Persons Place of Usual Residence","34","La Trobe",1798
"Persons Place of Usual Residence","34","Bruce",2542
"Persons Place of Usual Residence","34","Holt",2824
"Persons Place of Usual Residence","34","Fraser",3273
"Persons Place of Usual Residence","34","Lalor",3072
"Persons Place of Usual Residence","34","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","34","No usual address (Vic.)",172
"Persons Place of Usual Residence","34","Total",87626
"Persons Place of Usual Residence","35","Casey",1873
"Persons Place of Usual Residence","35","Dunkley",1967
"Persons Place of Usual Residence","35","Gellibrand",3286
"Persons Place of Usual Residence","35","Nicholls",1644
"Persons Place of Usual Residence","35","Indi",1514
"Persons Place of Usual Residence","35","Corio",1863
"Persons Place of Usual Residence","35","Corangamite",1439
"Persons Place of Usual Residence","35","McEwen",1790
"Persons Place of Usual Residence","35","Monash",1286
"Persons Place of Usual Residence","35","Bendigo",1649
"Persons Place of Usual Residence","35","Wannon",1492
"Persons Place of Usual Residence","35","Mallee",1614
"Persons Place of Usual Residence","35","Hawke",1936
"Persons Place of Usual Residence","35","Ballarat",1648
"Persons Place of Usual Residence","35","Gippsland",1588
"Persons Place of Usual Residence","35","Flinders",1335
"Persons Place of Usual Residence","35","Wills",2989
"Persons Place of Usual Residence","35","Melbourne",3557
"Persons Place of Usual Residence","35","Cooper",2769
"Persons Place of Usual Residence","35","Maribyrnong",2355
"Persons Place of Usual Residence","35","Macnamara",3448
"Persons Place of Usual Residence","35","Higgins",2606
"Persons Place of Usual Residence","35","Kooyong",1921
"Persons Place of Usual Residence","35","Menzies",1956
"Persons Place of Usual Residence","35","Chisholm",2001
"Persons Place of Usual Residence","35","Deakin",2235
"Persons Place of Usual Residence","35","Goldstein",1728
"Persons Place of Usual Residence","35","Hotham",2954
"Persons Place of Usual Residence","35","Isaacs",2346
"Persons Place of Usual Residence","35","Jagajaga",2113
"Persons Place of Usual Residence","35","Scullin",2704
"Persons Place of Usual Residence","35","Gorton",2631
"Persons Place of Usual Residence","35","Calwell",2290
"Persons Place of Usual Residence","35","Aston",2135
"Persons Place of Usual Residence","35","La Trobe",1788
"Persons Place of Usual Residence","35","Bruce",2567
"Persons Place of Usual Residence","35","Holt",2845
"Persons Place of Usual Residence","35","Fraser",3075
"Persons Place of Usual Residence","35","Lalor",2852
"Persons Place of Usual Residence","35","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","35","No usual address (Vic.)",198
"Persons Place of Usual Residence","35","Total",85957
"Persons Place of Usual Residence","36","Casey",1810
"Persons Place of Usual Residence","36","Dunkley",2005
"Persons Place of Usual Residence","36","Gellibrand",3106
"Persons Place of Usual Residence","36","Nicholls",1568
"Persons Place of Usual Residence","36","Indi",1518
"Persons Place of Usual Residence","36","Corio",1817
"Persons Place of Usual Residence","36","Corangamite",1398
"Persons Place of Usual Residence","36","McEwen",1735
"Persons Place of Usual Residence","36","Monash",1257
"Persons Place of Usual Residence","36","Bendigo",1464
"Persons Place of Usual Residence","36","Wannon",1426
"Persons Place of Usual Residence","36","Mallee",1544
"Persons Place of Usual Residence","36","Hawke",1925
"Persons Place of Usual Residence","36","Ballarat",1554
"Persons Place of Usual Residence","36","Gippsland",1509
"Persons Place of Usual Residence","36","Flinders",1347
"Persons Place of Usual Residence","36","Wills",2738
"Persons Place of Usual Residence","36","Melbourne",3306
"Persons Place of Usual Residence","36","Cooper",2572
"Persons Place of Usual Residence","36","Maribyrnong",2221
"Persons Place of Usual Residence","36","Macnamara",3114
"Persons Place of Usual Residence","36","Higgins",2409
"Persons Place of Usual Residence","36","Kooyong",1896
"Persons Place of Usual Residence","36","Menzies",1965
"Persons Place of Usual Residence","36","Chisholm",1992
"Persons Place of Usual Residence","36","Deakin",2236
"Persons Place of Usual Residence","36","Goldstein",1705
"Persons Place of Usual Residence","36","Hotham",2829
"Persons Place of Usual Residence","36","Isaacs",2320
"Persons Place of Usual Residence","36","Jagajaga",2078
"Persons Place of Usual Residence","36","Scullin",2556
"Persons Place of Usual Residence","36","Gorton",2649
"Persons Place of Usual Residence","36","Calwell",2260
"Persons Place of Usual Residence","36","Aston",2143
"Persons Place of Usual Residence","36","La Trobe",1717
"Persons Place of Usual Residence","36","Bruce",2552
"Persons Place of Usual Residence","36","Holt",2670
"Persons Place of Usual Residence","36","Fraser",2804
"Persons Place of Usual Residence","36","Lalor",2733
"Persons Place of Usual Residence","36","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","36","No usual address (Vic.)",141
"Persons Place of Usual Residence","36","Total",82578
"Persons Place of Usual Residence","37","Casey",1811
"Persons Place of Usual Residence","37","Dunkley",2106
"Persons Place of Usual Residence","37","Gellibrand",3004
"Persons Place of Usual Residence","37","Nicholls",1511
"Persons Place of Usual Residence","37","Indi",1428
"Persons Place of Usual Residence","37","Corio",1789
"Persons Place of Usual Residence","37","Corangamite",1453
"Persons Place of Usual Residence","37","McEwen",1649
"Persons Place of Usual Residence","37","Monash",1195
"Persons Place of Usual Residence","37","Bendigo",1535
"Persons Place of Usual Residence","37","Wannon",1556
"Persons Place of Usual Residence","37","Mallee",1515
"Persons Place of Usual Residence","37","Hawke",1952
"Persons Place of Usual Residence","37","Ballarat",1584
"Persons Place of Usual Residence","37","Gippsland",1489
"Persons Place of Usual Residence","37","Flinders",1371
"Persons Place of Usual Residence","37","Wills",2655
"Persons Place of Usual Residence","37","Melbourne",2882
"Persons Place of Usual Residence","37","Cooper",2446
"Persons Place of Usual Residence","37","Maribyrnong",2194
"Persons Place of Usual Residence","37","Macnamara",2823
"Persons Place of Usual Residence","37","Higgins",2229
"Persons Place of Usual Residence","37","Kooyong",1949
"Persons Place of Usual Residence","37","Menzies",1975
"Persons Place of Usual Residence","37","Chisholm",2061
"Persons Place of Usual Residence","37","Deakin",2289
"Persons Place of Usual Residence","37","Goldstein",1644
"Persons Place of Usual Residence","37","Hotham",2646
"Persons Place of Usual Residence","37","Isaacs",2213
"Persons Place of Usual Residence","37","Jagajaga",2009
"Persons Place of Usual Residence","37","Scullin",2362
"Persons Place of Usual Residence","37","Gorton",2480
"Persons Place of Usual Residence","37","Calwell",2141
"Persons Place of Usual Residence","37","Aston",2109
"Persons Place of Usual Residence","37","La Trobe",1673
"Persons Place of Usual Residence","37","Bruce",2320
"Persons Place of Usual Residence","37","Holt",2474
"Persons Place of Usual Residence","37","Fraser",2776
"Persons Place of Usual Residence","37","Lalor",2512
"Persons Place of Usual Residence","37","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","37","No usual address (Vic.)",130
"Persons Place of Usual Residence","37","Total",79961
"Persons Place of Usual Residence","38","Casey",1866
"Persons Place of Usual Residence","38","Dunkley",1956
"Persons Place of Usual Residence","38","Gellibrand",2947
"Persons Place of Usual Residence","38","Nicholls",1589
"Persons Place of Usual Residence","38","Indi",1613
"Persons Place of Usual Residence","38","Corio",1791
"Persons Place of Usual Residence","38","Corangamite",1410
"Persons Place of Usual Residence","38","McEwen",1777
"Persons Place of Usual Residence","38","Monash",1328
"Persons Place of Usual Residence","38","Bendigo",1664
"Persons Place of Usual Residence","38","Wannon",1561
"Persons Place of Usual Residence","38","Mallee",1650
"Persons Place of Usual Residence","38","Hawke",1868
"Persons Place of Usual Residence","38","Ballarat",1534
"Persons Place of Usual Residence","38","Gippsland",1478
"Persons Place of Usual Residence","38","Flinders",1435
"Persons Place of Usual Residence","38","Wills",2376
"Persons Place of Usual Residence","38","Melbourne",2554
"Persons Place of Usual Residence","38","Cooper",2395
"Persons Place of Usual Residence","38","Maribyrnong",2111
"Persons Place of Usual Residence","38","Macnamara",2667
"Persons Place of Usual Residence","38","Higgins",2068
"Persons Place of Usual Residence","38","Kooyong",1841
"Persons Place of Usual Residence","38","Menzies",1996
"Persons Place of Usual Residence","38","Chisholm",2015
"Persons Place of Usual Residence","38","Deakin",2159
"Persons Place of Usual Residence","38","Goldstein",1676
"Persons Place of Usual Residence","38","Hotham",2394
"Persons Place of Usual Residence","38","Isaacs",2093
"Persons Place of Usual Residence","38","Jagajaga",2153
"Persons Place of Usual Residence","38","Scullin",2265
"Persons Place of Usual Residence","38","Gorton",2464
"Persons Place of Usual Residence","38","Calwell",2045
"Persons Place of Usual Residence","38","Aston",1956
"Persons Place of Usual Residence","38","La Trobe",1730
"Persons Place of Usual Residence","38","Bruce",2348
"Persons Place of Usual Residence","38","Holt",2410
"Persons Place of Usual Residence","38","Fraser",2657
"Persons Place of Usual Residence","38","Lalor",2408
"Persons Place of Usual Residence","38","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","38","No usual address (Vic.)",119
"Persons Place of Usual Residence","38","Total",78340
"Persons Place of Usual Residence","39","Casey",1950
"Persons Place of Usual Residence","39","Dunkley",1973
"Persons Place of Usual Residence","39","Gellibrand",2721
"Persons Place of Usual Residence","39","Nicholls",1548
"Persons Place of Usual Residence","39","Indi",1564
"Persons Place of Usual Residence","39","Corio",1741
"Persons Place of Usual Residence","39","Corangamite",1512
"Persons Place of Usual Residence","39","McEwen",1794
"Persons Place of Usual Residence","39","Monash",1248
"Persons Place of Usual Residence","39","Bendigo",1610
"Persons Place of Usual Residence","39","Wannon",1549
"Persons Place of Usual Residence","39","Mallee",1626
"Persons Place of Usual Residence","39","Hawke",1838
"Persons Place of Usual Residence","39","Ballarat",1605
"Persons Place of Usual Residence","39","Gippsland",1532
"Persons Place of Usual Residence","39","Flinders",1420
"Persons Place of Usual Residence","39","Wills",2313
"Persons Place of Usual Residence","39","Melbourne",2384
"Persons Place of Usual Residence","39","Cooper",2286
"Persons Place of Usual Residence","39","Maribyrnong",1981
"Persons Place of Usual Residence","39","Macnamara",2492
"Persons Place of Usual Residence","39","Higgins",2001
"Persons Place of Usual Residence","39","Kooyong",1885
"Persons Place of Usual Residence","39","Menzies",2055
"Persons Place of Usual Residence","39","Chisholm",2026
"Persons Place of Usual Residence","39","Deakin",2209
"Persons Place of Usual Residence","39","Goldstein",1807
"Persons Place of Usual Residence","39","Hotham",2445
"Persons Place of Usual Residence","39","Isaacs",2247
"Persons Place of Usual Residence","39","Jagajaga",2076
"Persons Place of Usual Residence","39","Scullin",2140
"Persons Place of Usual Residence","39","Gorton",2494
"Persons Place of Usual Residence","39","Calwell",2003
"Persons Place of Usual Residence","39","Aston",1951
"Persons Place of Usual Residence","39","La Trobe",1688
"Persons Place of Usual Residence","39","Bruce",2241
"Persons Place of Usual Residence","39","Holt",2230
"Persons Place of Usual Residence","39","Fraser",2547
"Persons Place of Usual Residence","39","Lalor",2346
"Persons Place of Usual Residence","39","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","39","No usual address (Vic.)",102
"Persons Place of Usual Residence","39","Total",77191
"Persons Place of Usual Residence","40","Casey",1920
"Persons Place of Usual Residence","40","Dunkley",1987
"Persons Place of Usual Residence","40","Gellibrand",2677
"Persons Place of Usual Residence","40","Nicholls",1611
"Persons Place of Usual Residence","40","Indi",1620
"Persons Place of Usual Residence","40","Corio",1787
"Persons Place of Usual Residence","40","Corangamite",1514
"Persons Place of Usual Residence","40","McEwen",1779
"Persons Place of Usual Residence","40","Monash",1382
"Persons Place of Usual Residence","40","Bendigo",1606
"Persons Place of Usual Residence","40","Wannon",1500
"Persons Place of Usual Residence","40","Mallee",1735
"Persons Place of Usual Residence","40","Hawke",1834
"Persons Place of Usual Residence","40","Ballarat",1624
"Persons Place of Usual Residence","40","Gippsland",1586
"Persons Place of Usual Residence","40","Flinders",1565
"Persons Place of Usual Residence","40","Wills",2181
"Persons Place of Usual Residence","40","Melbourne",2261
"Persons Place of Usual Residence","40","Cooper",2291
"Persons Place of Usual Residence","40","Maribyrnong",2131
"Persons Place of Usual Residence","40","Macnamara",2392
"Persons Place of Usual Residence","40","Higgins",1940
"Persons Place of Usual Residence","40","Kooyong",1987
"Persons Place of Usual Residence","40","Menzies",2014
"Persons Place of Usual Residence","40","Chisholm",2106
"Persons Place of Usual Residence","40","Deakin",2200
"Persons Place of Usual Residence","40","Goldstein",1921
"Persons Place of Usual Residence","40","Hotham",2417
"Persons Place of Usual Residence","40","Isaacs",2257
"Persons Place of Usual Residence","40","Jagajaga",2279
"Persons Place of Usual Residence","40","Scullin",2145
"Persons Place of Usual Residence","40","Gorton",2419
"Persons Place of Usual Residence","40","Calwell",1958
"Persons Place of Usual Residence","40","Aston",1964
"Persons Place of Usual Residence","40","La Trobe",1724
"Persons Place of Usual Residence","40","Bruce",2343
"Persons Place of Usual Residence","40","Holt",2386
"Persons Place of Usual Residence","40","Fraser",2522
"Persons Place of Usual Residence","40","Lalor",2229
"Persons Place of Usual Residence","40","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","40","No usual address (Vic.)",131
"Persons Place of Usual Residence","40","Total",77918
"Persons Place of Usual Residence","41","Casey",1937
"Persons Place of Usual Residence","41","Dunkley",2009
"Persons Place of Usual Residence","41","Gellibrand",2597
"Persons Place of Usual Residence","41","Nicholls",1758
"Persons Place of Usual Residence","41","Indi",1666
"Persons Place of Usual Residence","41","Corio",1942
"Persons Place of Usual Residence","41","Corangamite",1549
"Persons Place of Usual Residence","41","McEwen",1842
"Persons Place of Usual Residence","41","Monash",1320
"Persons Place of Usual Residence","41","Bendigo",1653
"Persons Place of Usual Residence","41","Wannon",1736
"Persons Place of Usual Residence","41","Mallee",1726
"Persons Place of Usual Residence","41","Hawke",1876
"Persons Place of Usual Residence","41","Ballarat",1624
"Persons Place of Usual Residence","41","Gippsland",1538
"Persons Place of Usual Residence","41","Flinders",1613
"Persons Place of Usual Residence","41","Wills",2180
"Persons Place of Usual Residence","41","Melbourne",1921
"Persons Place of Usual Residence","41","Cooper",2324
"Persons Place of Usual Residence","41","Maribyrnong",2061
"Persons Place of Usual Residence","41","Macnamara",2274
"Persons Place of Usual Residence","41","Higgins",1926
"Persons Place of Usual Residence","41","Kooyong",1991
"Persons Place of Usual Residence","41","Menzies",2039
"Persons Place of Usual Residence","41","Chisholm",2173
"Persons Place of Usual Residence","41","Deakin",2280
"Persons Place of Usual Residence","41","Goldstein",2100
"Persons Place of Usual Residence","41","Hotham",2489
"Persons Place of Usual Residence","41","Isaacs",2278
"Persons Place of Usual Residence","41","Jagajaga",2167
"Persons Place of Usual Residence","41","Scullin",2253
"Persons Place of Usual Residence","41","Gorton",2378
"Persons Place of Usual Residence","41","Calwell",1906
"Persons Place of Usual Residence","41","Aston",2050
"Persons Place of Usual Residence","41","La Trobe",1761
"Persons Place of Usual Residence","41","Bruce",2437
"Persons Place of Usual Residence","41","Holt",2159
"Persons Place of Usual Residence","41","Fraser",2461
"Persons Place of Usual Residence","41","Lalor",2089
"Persons Place of Usual Residence","41","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","41","No usual address (Vic.)",108
"Persons Place of Usual Residence","41","Total",78197
"Persons Place of Usual Residence","42","Casey",2196
"Persons Place of Usual Residence","42","Dunkley",2188
"Persons Place of Usual Residence","42","Gellibrand",2560
"Persons Place of Usual Residence","42","Nicholls",1813
"Persons Place of Usual Residence","42","Indi",1761
"Persons Place of Usual Residence","42","Corio",1975
"Persons Place of Usual Residence","42","Corangamite",1595
"Persons Place of Usual Residence","42","McEwen",2017
