"Counting","AGEP Age","MB by Commonwealth Electoral Divisions (UR)","Count"
"Persons Place of Usual Residence","2","Isaacs",1897
"Persons Place of Usual Residence","2","Jagajaga",1959
"Persons Place of Usual Residence","2","Scullin",2437
"Persons Place of Usual Residence","2","Gorton",2352
"Persons Place of Usual Residence","2","Calwell",2473
"Persons Place of Usual Residence","2","Aston",1842
"Persons Place of Usual Residence","2","La Trobe",1898
"Persons Place of Usual Residence","2","Bruce",2354
"Persons Place of Usual Residence","2","Holt",2731
"Persons Place of Usual Residence","2","Fraser",2323
"Persons Place of Usual Residence","2","Lalor",2785
"Persons Place of Usual Residence","2","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","2","No usual address (Vic.)",60
"Persons Place of Usual Residence","2","Total",74475
"Persons Place of Usual Residence","3","Casey",1901
"Persons Place of Usual Residence","3","Dunkley",2039
"Persons Place of Usual Residence","3","Gellibrand",2858
"Persons Place of Usual Residence","3","Nicholls",1919
"Persons Place of Usual Residence","3","Indi",1700
"Persons Place of Usual Residence","3","Corio",1830
"Persons Place of Usual Residence","3","Corangamite",1592
"Persons Place of Usual Residence","3","McEwen",1990
"Persons Place of Usual Residence","3","Monash",1475
"Persons Place of Usual Residence","3","Bendigo",1730
"Persons Place of Usual Residence","3","Wannon",1616
"Persons Place of Usual Residence","3","Mallee",1807
"Persons Place of Usual Residence","3","Hawke",2107
"Persons Place of Usual Residence","3","Ballarat",1724
"Persons Place of Usual Residence","3","Gippsland",1730
"Persons Place of Usual Residence","3","Flinders",1482
"Persons Place of Usual Residence","3","Wills",1874
"Persons Place of Usual Residence","3","Melbourne",1195
"Persons Place of Usual Residence","3","Cooper",1809
"Persons Place of Usual Residence","3","Maribyrnong",1763
"Persons Place of Usual Residence","3","Macnamara",1490
"Persons Place of Usual Residence","3","Higgins",1450
"Persons Place of Usual Residence","3","Kooyong",1589
"Persons Place of Usual Residence","3","Menzies",1785
"Persons Place of Usual Residence","3","Chisholm",1770
"Persons Place of Usual Residence","3","Deakin",2140
"Persons Place of Usual Residence","3","Goldstein",1640
"Persons Place of Usual Residence","3","Hotham",2432
"Persons Place of Usual Residence","3","Isaacs",1988
"Persons Place of Usual Residence","3","Jagajaga",1938
"Persons Place of Usual Residence","3","Scullin",2380
"Persons Place of Usual Residence","3","Gorton",2358
"Persons Place of Usual Residence","3","Calwell",2490
"Persons Place of Usual Residence","3","Aston",1830
"Persons Place of Usual Residence","3","La Trobe",2030
"Persons Place of Usual Residence","3","Bruce",2320
"Persons Place of Usual Residence","3","Holt",2779
"Persons Place of Usual Residence","3","Fraser",2409
"Persons Place of Usual Residence","3","Lalor",2961
"Persons Place of Usual Residence","3","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","3","No usual address (Vic.)",91
"Persons Place of Usual Residence","3","Total",76009
"Persons Place of Usual Residence","4","Casey",1922
"Persons Place of Usual Residence","4","Dunkley",2086
"Persons Place of Usual Residence","4","Gellibrand",2805
"Persons Place of Usual Residence","4","Nicholls",1851
"Persons Place of Usual Residence","4","Indi",1718
"Persons Place of Usual Residence","4","Corio",1812
"Persons Place of Usual Residence","4","Corangamite",1587
"Persons Place of Usual Residence","4","McEwen",2077
"Persons Place of Usual Residence","4","Monash",1464
"Persons Place of Usual Residence","4","Bendigo",1821
"Persons Place of Usual Residence","4","Wannon",1704
"Persons Place of Usual Residence","4","Mallee",1894
"Persons Place of Usual Residence","4","Hawke",2187
"Persons Place of Usual Residence","4","Ballarat",1736
"Persons Place of Usual Residence","4","Gippsland",1689
"Persons Place of Usual Residence","4","Flinders",1525
"Persons Place of Usual Residence","4","Wills",1712
"Persons Place of Usual Residence","4","Melbourne",1121
"Persons Place of Usual Residence","4","Cooper",1802
"Persons Place of Usual Residence","4","Maribyrnong",1670
"Persons Place of Usual Residence","4","Macnamara",1332
"Persons Place of Usual Residence","4","Higgins",1459
"Persons Place of Usual Residence","4","Kooyong",1616
"Persons Place of Usual Residence","4","Menzies",1784
"Persons Place of Usual Residence","4","Chisholm",1809
"Persons Place of Usual Residence","4","Deakin",2018
"Persons Place of Usual Residence","4","Goldstein",1735
"Persons Place of Usual Residence","4","Hotham",2323
"Persons Place of Usual Residence","4","Isaacs",1884
"Persons Place of Usual Residence","4","Jagajaga",1927
"Persons Place of Usual Residence","4","Scullin",2296
"Persons Place of Usual Residence","4","Gorton",2417
"Persons Place of Usual Residence","4","Calwell",2440
"Persons Place of Usual Residence","4","Aston",1835
"Persons Place of Usual Residence","4","La Trobe",2086
"Persons Place of Usual Residence","4","Bruce",2295
"Persons Place of Usual Residence","4","Holt",2807
"Persons Place of Usual Residence","4","Fraser",2154
"Persons Place of Usual Residence","4","Lalor",2641
"Persons Place of Usual Residence","4","Migratory - Offshore - Shipping (Vic.)",0
"Persons Place of Usual Residence","4","No usual address (Vic.)",56
"Persons Place of Usual Residence","4","Total",75084
"Persons Place of Usual Residence","5","Casey",1890
"Persons Place of Usual Residence","5","Dunkley",1880
"Persons Place of Usual Residence","5","Gellibrand",2703
"Persons Place of Usual Residence","5","Nicholls",1814
"Persons Place of Usual Residence","5","Indi",1697
"Persons Place of Usual Residence","5","Corio",1714
"Persons Place of Usual Residence","5","Corangamite",1537
"Persons Place of Usual Residence","5","McEwen",2000
"Persons Place of Usual Residence","5","Monash",1591
"Persons Place of Usual Residence","5","Bendigo",1742
"Persons Place of Usual Residence","5","Wannon",1676
"Persons Place of Usual Residence","5","Mallee",1854
"Persons Place of Usual Residence","5","Hawke",2030
"Persons Place of Usual Residence","5","Ballarat",1697
"Persons Place of Usual Residence","5","Gippsland",1728
"Persons Place of Usual Residence","5","Flinders",1595
"Persons Place of Usual Residence","5","Wills",1770
"Persons Place of Usual Residence","5","Melbourne",1041
"Persons Place of Usual Residence","5","Cooper",1626
"Persons Place of Usual Residence","5","Maribyrnong",1595
"Persons Place of Usual Residence","5","Macnamara",1294
"Persons Place of Usual Residence","5","Higgins",1424
"Persons Place of Usual Residence","5","Kooyong",1751
"Persons Place of Usual Residence","5","Menzies",1881
"Persons Place of Usual Residence","5","Chisholm",1794
"Persons Place of Usual Residence","5","Deakin",1975
"Persons Place of Usual Residence","5","Goldstein",1811
"Persons Place of Usual Residence","5","Hotham",2240
"Persons Place of Usual Residence","5","Isaacs",1936
"Persons Place of Usual Residence","5","Jagajaga",1932
"Persons Place of Usual Residence","5","Scullin",2213
"Persons Place of Usual Residence","5","Gorton",2431
"Persons Place of Usual Residence","5","Calwell",2350
"Persons Place of Usual Residence","5","Aston",1804
"Persons Place of Usual Residence","5","La Trobe",1951
"Persons Place of Usual Residence","5","Bruce",2287
"Persons Place of Usual Residence","5","Holt",2558
"Persons Place of Usual Residence","5","Fraser",1999
"Persons Place of Usual Residence","5","Lalor",2623
"Persons Place of Usual Residence","5","Migratory - Offshore - Shipping (Vic.)",0
